"Indicator","location","M","F","age","value"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","60-69","13"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True",">=70","24"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","False","n.d.","86"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","False","True","n.d.","92"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","n.d.","89"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","18-29","97"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","30-39","98"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","40-49","98"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","50-59","93"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","60-69","87"
"% of people that do not have Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True",">=70","76"
"% of people experience with mental health issues","Nordre Aker","True","False","n.d.","17"
"% of people experience with mental health issues","Nordre Aker","False","True","n.d.","20"
"% of people experience with mental health issues","Nordre Aker","True","True","n.d.","19"
"% of people experience with mental health issues","Nordre Aker","True","True","18-29","40"
"% of people experience with mental health issues","Nordre Aker","True","True","30-39","31"
"% of people experience with mental health issues","Nordre Aker","True","True","40-49","21"
"% of people experience with mental health issues","Nordre Aker","True","True","50-59","12"
"% of people experience with mental health issues","Nordre Aker","True","True","60-69","8"
"% of people experience with mental health issues","Nordre Aker","True","True",">=70","9"
